City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,jacareacanga,-6.22,-57.75,83.35,35,0,1.57,BR,1597444430
1,hamilton,39.18,-84.53,82.4,65,20,7.0,US,1597444251
2,hithadhoo,-0.6,73.08,82.04,75,89,8.63,MV,1597444260
3,chuy,-33.7,-53.46,52.59,92,76,6.04,UY,1597444434
4,punta arenas,-53.15,-70.92,33.8,80,90,4.7,CL,1597444435
5,mount isa,-20.73,139.5,64.4,39,0,5.82,AU,1597444436
6,grindavik,63.84,-22.43,50.0,93,77,10.29,IS,1597444437
7,haines junction,60.75,-137.51,58.95,57,100,2.42,CA,1597444439
8,sao joao da barra,-21.64,-41.05,75.2,78,9,23.04,BR,1597444440
9,bom jesus,-9.07,-44.36,78.42,43,5,4.27,BR,1597444442
10,vaini,-21.2,-175.2,75.2,64,20,13.87,TO,1597444443
11,half moon bay,37.46,-122.43,102.99,37,1,19.46,US,1597444444
12,fairbanks,64.84,-147.72,70.0,55,1,4.54,US,1597444446
13,cape town,-33.93,18.42,60.01,76,75,14.99,ZA,1597444447
14,airai,-8.93,125.41,60.66,66,0,2.86,TL,1597444448
15,narsaq,60.92,-46.05,53.6,71,75,5.82,GL,1597444450
16,dikson,73.51,80.55,44.33,96,96,15.41,RU,1597444451
17,sitka,57.05,-135.33,57.2,87,90,9.17,US,1597444452
18,albany,42.6,-73.97,84.99,60,78,1.01,US,1597444454
19,ucluelet,48.93,-125.55,68.0,68,20,13.87,CA,1597444223
20,rikitea,-23.12,-134.97,70.77,75,48,11.79,PF,1597444456
21,mataura,-46.19,168.86,39.99,91,1,3.0,NZ,1597444458
22,atuona,-9.8,-139.03,77.45,74,70,15.88,PF,1597444460
23,rudnichnyy,59.62,52.47,48.81,85,100,7.56,RU,1597444462
24,yellowknife,62.46,-114.35,60.8,63,75,19.46,CA,1597444463
25,port alfred,-33.59,26.89,55.26,73,0,6.51,ZA,1597444464
26,ambilobe,-13.2,49.05,71.33,74,83,3.67,MG,1597444465
27,constitucion,-35.33,-72.42,47.3,74,0,13.15,CL,1597444467
28,kaitangata,-46.28,169.85,44.01,70,2,3.0,NZ,1597444468
29,busselton,-33.65,115.33,55.0,88,35,12.77,AU,1597444470
30,coquimbo,-29.95,-71.34,55.4,62,0,9.17,CL,1597444471
31,vila franca do campo,37.72,-25.43,71.6,83,20,8.05,PT,1597444293
32,avarua,-21.21,-159.78,78.8,88,22,12.75,CK,1597444474
33,caxito,-8.58,13.66,71.6,83,75,3.36,AO,1597444476
34,kota bahru,6.13,102.24,77.0,94,20,3.36,MY,1597444206
35,lorengau,-2.02,147.27,82.36,74,93,3.74,PG,1597444479
36,carnarvon,-24.87,113.63,50.0,100,0,6.93,AU,1597444480
37,longyearbyen,78.22,15.64,43.72,72,96,10.76,SJ,1597444482
38,cassilandia,-19.11,-51.73,80.92,29,1,4.65,BR,1597444483
39,puerto ayora,-0.74,-90.35,77.0,69,20,18.34,EC,1597444486
40,ushuaia,-54.8,-68.3,35.6,92,75,17.22,AR,1597444487
41,nueva helvecia,-34.3,-57.23,57.0,76,84,5.99,UY,1597444489
42,tezu,27.92,96.17,75.51,84,96,2.59,IN,1597444490
43,kahului,20.89,-156.47,89.6,52,40,23.04,US,1597444261
44,bluff,-46.6,168.33,39.99,91,72,3.0,NZ,1597444493
45,adrar,20.5,-10.07,99.48,25,62,5.23,MR,1597444494
46,hobart,-42.88,147.33,50.0,100,75,6.93,AU,1597444393
47,hilo,19.73,-155.09,87.8,55,75,9.17,US,1597444398
48,san antonio,29.42,-98.49,105.01,21,1,9.17,US,1597444418
49,westport,41.14,-73.36,82.99,54,1,6.93,US,1597444503
50,ancud,-41.87,-73.82,42.01,80,40,12.75,CL,1597444505
51,sembe,1.65,14.58,72.23,87,96,1.81,CG,1597444506
52,esil,51.96,66.4,63.27,56,96,10.0,KZ,1597444507
53,hualmay,-11.1,-77.61,61.36,77,67,12.1,PE,1597444508
54,hermanus,-34.42,19.23,55.0,85,42,8.01,ZA,1597444510
55,alice springs,-23.7,133.88,46.4,52,0,12.28,AU,1597444421
56,mitsamiouli,-11.38,43.28,75.79,76,4,15.59,KM,1597444514
57,omboue,-1.57,9.26,74.46,84,100,9.78,GA,1597444515
58,isangel,-19.55,169.27,78.8,83,19,9.17,VU,1597444516
59,itarema,-2.92,-39.92,77.72,75,15,15.95,BR,1597444518
60,kattivakkam,13.22,80.32,82.4,78,75,3.36,IN,1597444519
61,olafsvik,64.89,-23.71,49.82,79,15,11.74,IS,1597444520
62,dubti,11.74,41.09,87.42,48,77,7.23,ET,1597444521
63,vostok,46.49,135.88,58.66,100,67,3.69,RU,1597444523
64,skibbereen,51.55,-9.27,62.6,93,90,5.82,IE,1597444524
65,mzimba,-11.9,33.6,57.61,65,33,8.41,MW,1597444525
66,dingle,11.0,122.67,77.97,88,90,2.21,PH,1597444527
67,butaritari,3.07,172.79,82.22,79,67,12.03,KI,1597444528
68,tilichiki,60.47,166.1,52.74,84,100,13.2,RU,1597444529
69,nikolskoye,59.7,30.79,60.8,72,40,4.47,RU,1597444530
70,port elizabeth,-33.92,25.57,50.0,87,0,5.82,ZA,1597444533
71,dzilam gonzalez,21.28,-88.93,86.88,64,17,9.46,MX,1597444534
72,torbay,47.67,-52.73,57.99,100,90,16.11,CA,1597444514
73,kapaa,22.08,-159.32,86.0,66,20,11.41,US,1597444404
74,lamu,-2.27,40.9,75.4,74,82,16.31,KE,1597444538
75,chitral,35.85,71.79,74.34,38,2,2.82,PK,1597444540
76,namatanai,-3.67,152.43,82.85,72,100,3.58,PG,1597444541
